Response,Submitted on,Kritik dan saran,Sentimen,tanggal,jam,hari,normalisasi,case_folding,tokenizing,filtering,stemming,clean_review,Sentimen_Biner
352470,2025-09-21 13:08:00,"sangat seru, asik tetapi website yang dipakai kadang suka lemot saja",netral,2025-09-21,13,Sunday,"sangat seru, asik tetapi website yang dipakai kadang suka lemot saja",sangat seru asik tetapi website yang dipakai kadang suka lemot saja,"['sangat', 'seru', 'asik', 'tetapi', 'website', 'yang', 'dipakai', 'kadang', 'suka', 'lemot', 'saja']","['sangat', 'seru', 'asik', 'website', 'dipakai', 'kadang', 'suka', 'lemot']","['sangat', 'seru', 'asik', 'website', 'pakai', 'kadang', 'suka', 'lot']",sangat seru asik website pakai kadang suka lot,0
299522,2025-09-16 19:31:00,"pkkmb offline seru,cuma panas aja minusnya,pkkmb online saya mengalami kendala susah akses makannya baru bisa kerjain sekarang...",netral,2025-09-16,19,Tuesday,"pkkmb offline seru,cuma panas saja minusnya,pkkmb online saya mengalami kendala susah akses makannya baru bisa kerjain sekarang...",pkkmb offline serucuma panas saja minusnyapkkmb online saya mengalami kendala susah akses makannya baru bisa kerjain sekarang,"['pkkmb', 'offline', 'serucuma', 'panas', 'saja', 'minusnyapkkmb', 'online', 'saya', 'mengalami', 'kendala', 'susah', 'akses', 'makannya', 'baru', 'bisa', 'kerjain', 'sekarang']","['pkkmb', 'offline', 'serucuma', 'panas', 'minusnyapkkmb', 'online', 'mengalami', 'kendala', 'susah', 'akses', 'makannya', 'baru', 'kerjain', 'sekarang']","['pkkmb', 'offline', 'serucuma', 'panas', 'minusnyapkkmb', 'online', 'alami', 'kendala', 'susah', 'akses', 'makan', 'baru', 'kerjain', 'sekarang']",pkkmb offline serucuma panas minusnyapkkmb online alami kendala susah akses makan baru kerjain sekarang,0
302958,2025-09-17 16:11:00,merasa senang mengikuti pkkm,positif,2025-09-17,16,Wednesday,merasa senang mengikuti pkkm,merasa senang mengikuti pkkm,"['merasa', 'senang', 'mengikuti', 'pkkm']","['merasa', 'senang', 'mengikuti', 'pkkm']","['rasa', 'senang', 'ikut', 'pkkm']",rasa senang ikut pkkm,1
336930,2025-09-20 09:54:00,kegiatan pkkmb sudah berjalan dengan baik dan informatif. semoga ke depannya dapat lebih dikemas dengan cara yang menarik agar peserta semakin antusias ,positif,2025-09-20,9,Saturday,kegiatan pkkmb sudah berjalan dengan baik dan informatif. semoga ke depannya dapat lebih dikemas dengan cara yang menarik agar peserta semakin antusias,kegiatan pkkmb sudah berjalan dengan baik dan informatif semoga ke depannya dapat lebih dikemas dengan cara yang menarik agar peserta semakin antusias,"['kegiatan', 'pkkmb', 'sudah', 'berjalan', 'dengan', 'baik', 'dan', 'informatif', 'semoga', 'ke', 'depannya', 'dapat', 'lebih', 'dikemas', 'dengan', 'cara', 'yang', 'menarik', 'agar', 'peserta', 'semakin', 'antusias']","['kegiatan', 'pkkmb', 'berjalan', 'baik', 'informatif', 'semoga', 'depannya', 'lebih', 'dikemas', 'cara', 'menarik', 'peserta', 'semakin', 'antusias']","['giat', 'pkkmb', 'jalan', 'baik', 'informatif', 'moga', 'depan', 'lebih', 'kemas', 'cara', 'tarik', 'serta', 'makin', 'antusias']",giat pkkmb jalan baik informatif moga depan lebih kemas cara tarik serta makin antusias,1
321440,2025-09-19 12:46:00,"kigiatan nya lumayan seru banyak kenal tmn baru, dan agak sedikit cape dan panas",netral,2025-09-19,12,Friday,"kigiatan nya lumayan seru banyak kenal teman baru, dan agak sedikit capek dan panas",kigiatan nya lumayan seru banyak kenal teman baru dan agak sedikit capek dan panas,"['kigiatan', 'nya', 'lumayan', 'seru', 'banyak', 'kenal', 'teman', 'baru', 'dan', 'agak', 'sedikit', 'capek', 'dan', 'panas']","['kigiatan', 'nya', 'lumayan', 'seru', 'banyak', 'kenal', 'teman', 'baru', 'sedikit', 'capek', 'panas']","['kigiatan', 'nya', 'lumayan', 'seru', 'banyak', 'kenal', 'teman', 'baru', 'sedikit', 'capek', 'panas']",kigiatan nya lumayan seru banyak kenal teman baru sedikit capek panas,0
338012,2025-09-20 11:52:00,"Lebih interaktif kaya pakai games, kuis, dan sharing alumni  ",positif,2025-09-20,11,Saturday,"Lebih interaktif kayak pakai games, kuis, dan sharing alumni",lebih interaktif kayak pakai games kuis dan sharing alumni,"['lebih', 'interaktif', 'kayak', 'pakai', 'games', 'kuis', 'dan', 'sharing', 'alumni']","['lebih', 'interaktif', 'kayak', 'pakai', 'games', 'kuis', 'sharing', 'alumni']","['lebih', 'interaktif', 'kayak', 'pakai', 'games', 'kuis', 'sharing', 'alumni']",lebih interaktif kayak pakai games kuis sharing alumni,1
330630,2025-09-20 01:08:00,kagiatanyaa seruu bangett ,positif,2025-09-20,1,Saturday,kagiatanyaa seru banget,kagiatanyaa seru banget,"['kagiatanyaa', 'seru', 'banget']","['kagiatanyaa', 'seru', 'banget']","['kagiatanyaa', 'seru', 'banget']",kagiatanyaa seru banget,1
285738,2025-09-12 23:09:00,PKKMB NYAA SERU KAKA KAKANY RAMAHHH RAMAHH JUGA BANYAK PENAMPILAN DARI KAKA YANG MENAKJUBKAN DAN BANYAK HAL MENARIK LAINNYA SEPERTI MINSOC JUGA GEDUNG DAN LIFT,positif,2025-09-12,23,Friday,PKKMB NYAA SERU KAKA KAKANY RAMAHHH RAMAHH JUGA BANYAK PENAMPILAN DARI KAKA YANG MENAKJUBKAN DAN BANYAK HAL MENARIK LAINNYA SEPERTI MINSOC JUGA GEDUNG DAN LIFT,pkkmb nyaa seru kaka kakany ramahhh ramahh juga banyak penampilan dari kaka yang menakjubkan dan banyak hal menarik lainnya seperti minsoc juga gedung dan lift,"['pkkmb', 'nyaa', 'seru', 'kaka', 'kakany', 'ramahhh', 'ramahh', 'juga', 'banyak', 'penampilan', 'dari', 'kaka', 'yang', 'menakjubkan', 'dan', 'banyak', 'hal', 'menarik', 'lainnya', 'seperti', 'minsoc', 'juga', 'gedung', 'dan', 'lift']","['pkkmb', 'nyaa', 'seru', 'kaka', 'kakany', 'ramahhh', 'ramahh', 'banyak', 'penampilan', 'kaka', 'menakjubkan', 'banyak', 'menarik', 'lainnya', 'minsoc', 'gedung', 'lift']","['pkkmb', 'nyaa', 'seru', 'kaka', 'kakany', 'ramahhh', 'ramahh', 'banyak', 'tampil', 'kaka', 'takjub', 'banyak', 'tarik', 'lain', 'minsoc', 'gedung', 'lift']",pkkmb nyaa seru kaka kakany ramahhh ramahh banyak tampil kaka takjub banyak tarik lain minsoc gedung lift,1
304660,2025-09-17 19:38:00,"PPKMB berjalan cukup baik dan membantu mahasiswa baru memahami budaya kampus serta program studi. Materi yang disampaikan jelas, dan pembimbing ramah serta responsif. Untuk ke depannya, saya berharap ada lebih banyak sesi interaktif atau simulasi agar peserta lebih aktif terlibat dan pengalaman belajar lebih menyenangkan.",positif,2025-09-17,19,Wednesday,"PPKMB berjalan cukup baik dan membantu mahasiswa baru memahami budaya kampus serta program studi. Materi yang disampaikan jelas, dan pembimbing ramah serta responsif. Untuk ke depannya, saya berharap ada lebih banyak sesi interaktif atau simulasi agar peserta lebih aktif terlibat dan pengalaman belajar lebih menyenangkan.",ppkmb berjalan cukup baik dan membantu mahasiswa baru memahami budaya kampus serta program studi materi yang disampaikan jelas dan pembimbing ramah serta responsif untuk ke depannya saya berharap ada lebih banyak sesi interaktif atau simulasi agar peserta lebih aktif terlibat dan pengalaman belajar lebih menyenangkan,"['ppkmb', 'berjalan', 'cukup', 'baik', 'dan', 'membantu', 'mahasiswa', 'baru', 'memahami', 'budaya', 'kampus', 'serta', 'program', 'studi', 'materi', 'yang', 'disampaikan', 'jelas', 'dan', 'pembimbing', 'ramah', 'serta', 'responsif', 'untuk', 'ke', 'depannya', 'saya', 'berharap', 'ada', 'lebih', 'banyak', 'sesi', 'interaktif', 'atau', 'simulasi', 'agar', 'peserta', 'lebih', 'aktif', 'terlibat', 'dan', 'pengalaman', 'belajar', 'lebih', 'menyenangkan']","['ppkmb', 'berjalan', 'cukup', 'baik', 'membantu', 'mahasiswa', 'baru', 'memahami', 'budaya', 'kampus', 'program', 'studi', 'materi', 'disampaikan', 'jelas', 'pembimbing', 'ramah', 'responsif', 'depannya', 'berharap', 'lebih', 'banyak', 'sesi', 'interaktif', 'simulasi', 'peserta', 'lebih', 'aktif', 'terlibat', 'pengalaman', 'belajar', 'lebih', 'menyenangkan']","['ppkmb', 'jalan', 'cukup', 'baik', 'bantu', 'mahasiswa', 'baru', 'paham', 'budaya', 'kampus', 'program', 'studi', 'materi', 'sampai', 'jelas', 'bimbing', 'ramah', 'responsif', 'depan', 'harap', 'lebih', 'banyak', 'sesi', 'interaktif', 'simulasi', 'serta', 'lebih', 'aktif', 'libat', 'alam', 'ajar', 'lebih', 'senang']",ppkmb jalan cukup baik bantu mahasiswa baru paham budaya kampus program studi materi sampai jelas bimbing ramah responsif depan harap lebih banyak sesi interaktif simulasi serta lebih aktif libat alam ajar lebih senang,1
322070,2025-09-19 13:52:00,Seruu pastinya ,positif,2025-09-19,13,Friday,Seruu pastinya,seruu pastinya,"['seruu', 'pastinya']","['seruu', 'pastinya']","['seruu', 'pasti']",seruu pasti,1
321826,2025-09-19 13:28:00,harus lebih bisa meningkatkan kerjasama yang lebih relevan ,positif,2025-09-19,13,Friday,harus lebih bisa meningkatkan kerjasama yang lebih relevan,harus lebih bisa meningkatkan kerjasama yang lebih relevan,"['harus', 'lebih', 'bisa', 'meningkatkan', 'kerjasama', 'yang', 'lebih', 'relevan']","['lebih', 'meningkatkan', 'kerjasama', 'lebih', 'relevan']","['lebih', 'tingkat', 'kerjasama', 'lebih', 'relevan']",lebih tingkat kerjasama lebih relevan,1
333422,2025-09-20 05:03:00,Memperhatikan maba introvert,netral,2025-09-20,5,Saturday,Memperhatikan maba introvert,memperhatikan maba introvert,"['memperhatikan', 'maba', 'introvert']","['memperhatikan', 'maba', 'introvert']","['perhati', 'maba', 'introvert']",perhati maba introvert,0
345780,2025-09-21 01:03:00,"penyampaian materi yang lebih relevan dan tidak terlalu banyak, serta penting untuk menciptakan suasana yang lebih menyenangkan dengan humor dan pendekatan kreatif.",positif,2025-09-21,1,Sunday,"penyampaian materi yang lebih relevan dan tidak terlalu banyak, serta penting untuk menciptakan suasana yang lebih menyenangkan dengan humor dan pendekatan kreatif.",penyampaian materi yang lebih relevan dan tidak terlalu banyak serta penting untuk menciptakan suasana yang lebih menyenangkan dengan humor dan pendekatan kreatif,"['penyampaian', 'materi', 'yang', 'lebih', 'relevan', 'dan', 'tidak', 'terlalu', 'banyak', 'serta', 'penting', 'untuk', 'menciptakan', 'suasana', 'yang', 'lebih', 'menyenangkan', 'dengan', 'humor', 'dan', 'pendekatan', 'kreatif']","['penyampaian', 'materi', 'lebih', 'relevan', 'tidak', 'terlalu', 'banyak', 'penting', 'menciptakan', 'suasana', 'lebih', 'menyenangkan', 'humor', 'pendekatan', 'kreatif']","['sampai', 'materi', 'lebih', 'relevan', 'tidak', 'terlalu', 'banyak', 'penting', 'cipta', 'suasana', 'lebih', 'senang', 'humor', 'dekat', 'kreatif']",sampai materi lebih relevan tidak terlalu banyak penting cipta suasana lebih senang humor dekat kreatif,1
309060,2025-09-18 10:43:00,tingkatkan lagi keseruan acaranya ,positif,2025-09-18,10,Thursday,tingkatkan lagi keseruan acaranya,tingkatkan lagi keseruan acaranya,"['tingkatkan', 'lagi', 'keseruan', 'acaranya']","['tingkatkan', 'keseruan', 'acaranya']","['tingkat', 'seru', 'acara']",tingkat seru acara,1
285098,2025-09-12 21:14:00,SEMOGA KEDEPANNYA WEB WEB TIDAAK BANYAK EROR,netral,2025-09-12,21,Friday,SEMOGA KEDEPANNYA WEB WEB TIDAAK BANYAK EROR,semoga kedepannya web web tidaak banyak eror,"['semoga', 'kedepannya', 'web', 'web', 'tidaak', 'banyak', 'eror']","['semoga', 'kedepannya', 'web', 'web', 'tidaak', 'banyak', 'eror']","['moga', 'depan', 'web', 'web', 'tidaak', 'banyak', 'eror']",moga depan web web tidaak banyak eror,0
282906,2025-09-12 13:41:00,Banyakin bermain game supaya saat PKKMB tidak ngantuk dan bosan.,netral,2025-09-12,13,Friday,Banyakin bermain game supaya saat PKKMB tidak ngantuk dan bosan.,banyakin bermain game supaya saat pkkmb tidak ngantuk dan bosan,"['banyakin', 'bermain', 'game', 'supaya', 'saat', 'pkkmb', 'tidak', 'ngantuk', 'dan', 'bosan']","['banyakin', 'bermain', 'game', 'pkkmb', 'tidak', 'ngantuk', 'bosan']","['banyakin', 'main', 'game', 'pkkmb', 'tidak', 'ngantuk', 'bosan']",banyakin main game pkkmb tidak ngantuk bosan,0
283442,2025-09-12 15:34:00,tidak bisanya berkata kata,netral,2025-09-12,15,Friday,tidak bisanya berkata kata,tidak bisanya berkata kata,"['tidak', 'bisanya', 'berkata', 'kata']","['tidak', 'bisanya', 'berkata', 'kata']","['tidak', 'bisa', 'kata', 'kata']",tidak bisa kata kata,0
324562,2025-09-19 17:36:00,"PKKMB sudah berjalan baik, hanya saja kurang konsumsi. Akan lebih baik jika konsumsi atau air mineral.",netral,2025-09-19,17,Friday,"PKKMB sudah berjalan baik, hanya saja kurang konsumsi. Akan lebih baik jika konsumsi atau air mineral.",pkkmb sudah berjalan baik hanya saja kurang konsumsi akan lebih baik jika konsumsi atau air mineral,"['pkkmb', 'sudah', 'berjalan', 'baik', 'hanya', 'saja', 'kurang', 'konsumsi', 'akan', 'lebih', 'baik', 'jika', 'konsumsi', 'atau', 'air', 'mineral']","['pkkmb', 'berjalan', 'baik', 'kurang', 'konsumsi', 'lebih', 'baik', 'konsumsi', 'air', 'mineral']","['pkkmb', 'jalan', 'baik', 'kurang', 'konsumsi', 'lebih', 'baik', 'konsumsi', 'air', 'mineral']",pkkmb jalan baik kurang konsumsi lebih baik konsumsi air mineral,0
276450,2025-09-10 22:41:00,"tidak ada, saya sudah puas di mulai nara sumber yg bersemangat ,dosen -dosen nya ramah dan baik",positif,2025-09-10,22,Wednesday,"tidak ada, saya sudah puas di mulai nara sumber yang bersemangat ,dosen -dosen nya ramah dan baik",tidak ada saya sudah puas di mulai nara sumber yang bersemangat dosen dosen nya ramah dan baik,"['tidak', 'ada', 'saya', 'sudah', 'puas', 'di', 'mulai', 'nara', 'sumber', 'yang', 'bersemangat', 'dosen', 'dosen', 'nya', 'ramah', 'dan', 'baik']","['tidak', 'puas', 'mulai', 'nara', 'sumber', 'bersemangat', 'dosen', 'dosen', 'nya', 'ramah', 'baik']","['tidak', 'puas', 'mulai', 'nara', 'sumber', 'semangat', 'dosen', 'dosen', 'nya', 'ramah', 'baik']",tidak puas mulai nara sumber semangat dosen dosen nya ramah baik,1
280746,2025-09-11 22:55:00,Menurut saya sudah puas karna narasumber yg aktif dan seru juga kelengkapan alat pendukung nya juga sudah cukup dan jelas yah ,positif,2025-09-11,22,Thursday,Menurut saya sudah puas karena narasumber yang aktif dan seru juga kelengkapan alat pendukung nya juga sudah cukup dan jelas ya,menurut saya sudah puas karena narasumber yang aktif dan seru juga kelengkapan alat pendukung nya juga sudah cukup dan jelas ya,"['menurut', 'saya', 'sudah', 'puas', 'karena', 'narasumber', 'yang', 'aktif', 'dan', 'seru', 'juga', 'kelengkapan', 'alat', 'pendukung', 'nya', 'juga', 'sudah', 'cukup', 'dan', 'jelas', 'ya']","['puas', 'narasumber', 'aktif', 'seru', 'kelengkapan', 'alat', 'pendukung', 'nya', 'cukup', 'jelas']","['puas', 'narasumber', 'aktif', 'seru', 'lengkap', 'alat', 'dukung', 'nya', 'cukup', 'jelas']",puas narasumber aktif seru lengkap alat dukung nya cukup jelas,1
316460,2025-09-19 00:09:00,"saat pawai jangan terlalu lama karna panas, tapi semuanya udah baguss rapih sesuai jadwal dan keren sih panitia nya udah siap semuaaa ",netral,2025-09-19,0,Friday,"saat pawai jangan terlalu lama karena panas, tapi semuanya sudah bagus rapi sesuai jadwal dan keren sih panitia nya sudah siap semua",saat pawai jangan terlalu lama karena panas tapi semuanya sudah bagus rapi sesuai jadwal dan keren sih panitia nya sudah siap semua,"['saat', 'pawai', 'jangan', 'terlalu', 'lama', 'karena', 'panas', 'tapi', 'semuanya', 'sudah', 'bagus', 'rapi', 'sesuai', 'jadwal', 'dan', 'keren', 'sih', 'panitia', 'nya', 'sudah', 'siap', 'semua']","['pawai', 'jangan', 'terlalu', 'lama', 'panas', 'semuanya', 'bagus', 'rapi', 'sesuai', 'jadwal', 'keren', 'sih', 'panitia', 'nya', 'siap', 'semua']","['pawai', 'jangan', 'terlalu', 'lama', 'panas', 'semua', 'bagus', 'rapi', 'sesuai', 'jadwal', 'keren', 'sih', 'panitia', 'nya', 'siap', 'semua']",pawai jangan terlalu lama panas semua bagus rapi sesuai jadwal keren sih panitia nya siap semua,0
301400,2025-09-17 12:33:00,sangattt seru  terimakasih panitia ,positif,2025-09-17,12,Wednesday,sangat seru terimakasih panitia,sangat seru terimakasih panitia,"['sangat', 'seru', 'terimakasih', 'panitia']","['sangat', 'seru', 'terimakasih', 'panitia']","['sangat', 'seru', 'terimakasih', 'panitia']",sangat seru terimakasih panitia,1
339508,2025-09-20 14:47:00,semoga lebih meriah dan lebih baik lagi kedepanya,positif,2025-09-20,14,Saturday,semoga lebih meriah dan lebih baik lagi kedepanya,semoga lebih meriah dan lebih baik lagi kedepanya,"['semoga', 'lebih', 'meriah', 'dan', 'lebih', 'baik', 'lagi', 'kedepanya']","['semoga', 'lebih', 'meriah', 'lebih', 'baik', 'kedepanya']","['moga', 'lebih', 'riah', 'lebih', 'baik', 'depa']",moga lebih riah lebih baik depa,1
349768,2025-09-21 08:48:00,"Saya telat mengikuti pkkmb online ini karena dari kemarin delay, dan untuk kedepannya semoga tidak terulang lagi untuk mahasiswa baru selanjutnya",negatif,2025-09-21,8,Sunday,"Saya telat mengikuti pkkmb online ini karena dari kemarin delay, dan untuk kedepannya semoga tidak terulang lagi untuk mahasiswa baru selanjutnya",saya telat mengikuti pkkmb online ini karena dari kemarin delay dan untuk kedepannya semoga tidak terulang lagi untuk mahasiswa baru selanjutnya,"['saya', 'telat', 'mengikuti', 'pkkmb', 'online', 'ini', 'karena', 'dari', 'kemarin', 'delay', 'dan', 'untuk', 'kedepannya', 'semoga', 'tidak', 'terulang', 'lagi', 'untuk', 'mahasiswa', 'baru', 'selanjutnya']","['telat', 'mengikuti', 'pkkmb', 'online', 'kemarin', 'delay', 'kedepannya', 'semoga', 'tidak', 'terulang', 'mahasiswa', 'baru', 'selanjutnya']","['telat', 'ikut', 'pkkmb', 'online', 'kemarin', 'delay', 'depan', 'moga', 'tidak', 'ulang', 'mahasiswa', 'baru', 'lanjut']",telat ikut pkkmb online kemarin delay depan moga tidak ulang mahasiswa baru lanjut,-1
279420,2025-09-11 17:31:00,Kegiatan pkkmb yang seru dan menarik ,positif,2025-09-11,17,Thursday,Kegiatan pkkmb yang seru dan menarik,kegiatan pkkmb yang seru dan menarik,"['kegiatan', 'pkkmb', 'yang', 'seru', 'dan', 'menarik']","['kegiatan', 'pkkmb', 'seru', 'menarik']","['giat', 'pkkmb', 'seru', 'tarik']",giat pkkmb seru tarik,1
290114,2025-09-15 12:04:00,saran untuk aula gedung A saat pkkmb di tambah proyektor karna saat berada di ruangan sebelah   gedung A sama sekali tidak kelihatan materi yang disampaikan.,netral,2025-09-15,12,Monday,saran untuk aula gedung A saat pkkmb di tambah proyektor karena saat berada di ruangan sebelah gedung A sama sekali tidak kelihatan materi yang disampaikan.,saran untuk aula gedung a saat pkkmb di tambah proyektor karena saat berada di ruangan sebelah gedung a sama sekali tidak kelihatan materi yang disampaikan,"['saran', 'untuk', 'aula', 'gedung', 'a', 'saat', 'pkkmb', 'di', 'tambah', 'proyektor', 'karena', 'saat', 'berada', 'di', 'ruangan', 'sebelah', 'gedung', 'a', 'sama', 'sekali', 'tidak', 'kelihatan', 'materi', 'yang', 'disampaikan']","['saran', 'aula', 'gedung', 'a', 'pkkmb', 'tambah', 'proyektor', 'berada', 'ruangan', 'sebelah', 'gedung', 'a', 'sama', 'sekali', 'tidak', 'kelihatan', 'materi', 'disampaikan']","['saran', 'aula', 'gedung', 'a', 'pkkmb', 'tambah', 'proyektor', 'ada', 'ruang', 'belah', 'gedung', 'a', 'sama', 'sekali', 'tidak', 'lihat', 'materi', 'sampai']",saran aula gedung a pkkmb tambah proyektor ada ruang belah gedung a sama sekali tidak lihat materi sampai,0
292872,2025-09-15 19:25:00,"Kegiatan pkkmb yang diselenggarakan sangat bagus dan menarik dengan acara acara yang telah di susun rapih dan menarik serta para host pkkmb yamg sangat antusias. Saya sangat senang mengikuti ppkmb ini, akan tetapi izinkan saya memberikan masukan. Menurut saya sebaiknya pkkmb prodi di pisah dengan pkkmb kampus yang dilakukan pada hari yang berbeda ",positif,2025-09-15,19,Monday,"Kegiatan pkkmb yang diselenggarakan sangat bagus dan menarik dengan acara acara yang telah di susun rapi dan menarik serta para host pkkmb yamg sangat antusias. Saya sangat senang mengikuti ppkmb ini, akan tetapi izinkan saya memberikan masukan. Menurut saya sebaiknya pkkmb prodi di pisah dengan pkkmb kampus yang dilakukan pada hari yang berbeda",kegiatan pkkmb yang diselenggarakan sangat bagus dan menarik dengan acara acara yang telah di susun rapi dan menarik serta para host pkkmb yamg sangat antusias saya sangat senang mengikuti ppkmb ini akan tetapi izinkan saya memberikan masukan menurut saya sebaiknya pkkmb prodi di pisah dengan pkkmb kampus yang dilakukan pada hari yang berbeda,"['kegiatan', 'pkkmb', 'yang', 'diselenggarakan', 'sangat', 'bagus', 'dan', 'menarik', 'dengan', 'acara', 'acara', 'yang', 'telah', 'di', 'susun', 'rapi', 'dan', 'menarik', 'serta', 'para', 'host', 'pkkmb', 'yamg', 'sangat', 'antusias', 'saya', 'sangat', 'senang', 'mengikuti', 'ppkmb', 'ini', 'akan', 'tetapi', 'izinkan', 'saya', 'memberikan', 'masukan', 'menurut', 'saya', 'sebaiknya', 'pkkmb', 'prodi', 'di', 'pisah', 'dengan', 'pkkmb', 'kampus', 'yang', 'dilakukan', 'pada', 'hari', 'yang', 'berbeda']","['kegiatan', 'pkkmb', 'diselenggarakan', 'sangat', 'bagus', 'menarik', 'acara', 'acara', 'susun', 'rapi', 'menarik', 'host', 'pkkmb', 'yamg', 'sangat', 'antusias', 'sangat', 'senang', 'mengikuti', 'ppkmb', 'izinkan', 'memberikan', 'masukan', 'sebaiknya', 'pkkmb', 'prodi', 'pisah', 'pkkmb', 'kampus', 'dilakukan', 'hari', 'berbeda']","['giat', 'pkkmb', 'selenggara', 'sangat', 'bagus', 'tarik', 'acara', 'acara', 'susun', 'rapi', 'tarik', 'host', 'pkkmb', 'yamg', 'sangat', 'antusias', 'sangat', 'senang', 'ikut', 'ppkmb', 'izin', 'beri', 'masuk', 'baik', 'pkkmb', 'prodi', 'pisah', 'pkkmb', 'kampus', 'laku', 'hari', 'beda']",giat pkkmb selenggara sangat bagus tarik acara acara susun rapi tarik host pkkmb yamg sangat antusias sangat senang ikut ppkmb izin beri masuk baik pkkmb prodi pisah pkkmb kampus laku hari beda,1
296028,2025-09-16 09:45:00,merasa senang menjadi bagian keluarga unpam serang,positif,2025-09-16,9,Tuesday,merasa senang menjadi bagian keluarga unpam serang,merasa senang menjadi bagian keluarga unpam serang,"['merasa', 'senang', 'menjadi', 'bagian', 'keluarga', 'unpam', 'serang']","['merasa', 'senang', 'menjadi', 'bagian', 'keluarga', 'unpam', 'serang']","['rasa', 'senang', 'jadi', 'bagi', 'keluarga', 'unpam', 'serang']",rasa senang jadi bagi keluarga unpam serang,1
328188,2025-09-19 22:25:00,"peningkatan interaksi dan keseruan, pemberian materi yang lebih relevan dan terstruktur dengan modul digital, serta perhatian terhadap kesehatan fisik dan mental mahasiswa baru.",positif,2025-09-19,22,Friday,"peningkatan interaksi dan keseruan, pemberian materi yang lebih relevan dan terstruktur dengan modul digital, serta perhatian terhadap kesehatan fisik dan mental mahasiswa baru.",peningkatan interaksi dan keseruan pemberian materi yang lebih relevan dan terstruktur dengan modul digital serta perhatian terhadap kesehatan fisik dan mental mahasiswa baru,"['peningkatan', 'interaksi', 'dan', 'keseruan', 'pemberian', 'materi', 'yang', 'lebih', 'relevan', 'dan', 'terstruktur', 'dengan', 'modul', 'digital', 'serta', 'perhatian', 'terhadap', 'kesehatan', 'fisik', 'dan', 'mental', 'mahasiswa', 'baru']","['peningkatan', 'interaksi', 'keseruan', 'pemberian', 'materi', 'lebih', 'relevan', 'terstruktur', 'modul', 'digital', 'perhatian', 'kesehatan', 'fisik', 'mental', 'mahasiswa', 'baru']","['tingkat', 'interaksi', 'seru', 'beri', 'materi', 'lebih', 'relevan', 'struktur', 'modul', 'digital', 'perhati', 'sehat', 'fisik', 'mental', 'mahasiswa', 'baru']",tingkat interaksi seru beri materi lebih relevan struktur modul digital perhati sehat fisik mental mahasiswa baru,1
286920,2025-09-13 11:51:00,sangat menyenangkan dan seru,positif,2025-09-13,11,Saturday,sangat menyenangkan dan seru,sangat menyenangkan dan seru,"['sangat', 'menyenangkan', 'dan', 'seru']","['sangat', 'menyenangkan', 'seru']","['sangat', 'senang', 'seru']",sangat senang seru,1
289178,2025-09-13 20:42:00,aulanya kurang memadai,netral,2025-09-13,20,Saturday,aulanya kurang memadai,aulanya kurang memadai,"['aulanya', 'kurang', 'memadai']","['aulanya', 'kurang', 'memadai']","['aula', 'kurang', 'pada']",aula kurang pada,0
288158,2025-09-13 16:09:00,Sangat menyenangkan dan banyak manfaatnya karena di dalam kegiatan ppkmb saya dapat mengenal teman baru dari semua prodi,positif,2025-09-13,16,Saturday,Sangat menyenangkan dan banyak manfaatnya karena di dalam kegiatan ppkmb saya dapat mengenal teman baru dari semua prodi,sangat menyenangkan dan banyak manfaatnya karena di dalam kegiatan ppkmb saya dapat mengenal teman baru dari semua prodi,"['sangat', 'menyenangkan', 'dan', 'banyak', 'manfaatnya', 'karena', 'di', 'dalam', 'kegiatan', 'ppkmb', 'saya', 'dapat', 'mengenal', 'teman', 'baru', 'dari', 'semua', 'prodi']","['sangat', 'menyenangkan', 'banyak', 'manfaatnya', 'kegiatan', 'ppkmb', 'mengenal', 'teman', 'baru', 'semua', 'prodi']","['sangat', 'senang', 'banyak', 'manfaat', 'giat', 'ppkmb', 'kenal', 'teman', 'baru', 'semua', 'prodi']",sangat senang banyak manfaat giat ppkmb kenal teman baru semua prodi,1
281834,2025-09-12 08:54:00,"""semoga ke lebih baik lagi jauh lebih""",positif,2025-09-12,8,Friday,"""semoga ke lebih baik lagi jauh lebih""",semoga ke lebih baik lagi jauh lebih,"['semoga', 'ke', 'lebih', 'baik', 'lagi', 'jauh', 'lebih']","['semoga', 'lebih', 'baik', 'jauh', 'lebih']","['moga', 'lebih', 'baik', 'jauh', 'lebih']",moga lebih baik jauh lebih,1
